failure,weight,vel,mean1k_max,std1k_max,max1k_max,mean512_max,std512_max,max512_max,mean256_max,std256_max,max256_max,mean128_max,std128_max,max128_max,mean64_max,std64_max,max64_max,mean32_max,std32_max,max32_max,mean16_max,std16_max,max16_max
0.00,6744.32,84.03,10.63,24.70,414.70,13.04,21.22,315.96,7.46,11.90,149.75,20.17,28.10,148.86,53.36,183.00,2962.38,112.66,373.00,3660.57,9.73,30.20,654.67
1.00,21204.79,61.61,73.55,222.00,3164.00,134.70,257.12,3183.03,21.97,36.70,750.14,40.65,95.60,1375.36,111.53,320.00,3673.89,166.77,591.00,6309.83,109.07,587.00,12749.76
0.00,9447.84,89.53,175.70,441.45,8123.06,216.33,422.17,5602.23,47.24,76.90,1057.95,192.87,345.00,3491.61,421.34,973.00,8822.67,516.67,1220.00,9229.80,164.93,506.00,12039.95
0.00,9865.88,89.53,20.07,61.53,1308.67,59.73,105.55,1902.48,13.66,27.00,694.78,3.64,7.63,140.00,3.57,10.20,166.54,9.73,44.30,918.77,28.83,127.00,2180.53
0.00,3680.13,55.21,19.49,49.81,1215.87,26.55,43.59,863.30,11.74,25.00,427.70,2.13,3.63,66.56,1.46,2.68,41.44,3.80,11.10,159.28,10.37,40.70,880.20
0.00,11054.82,74.63,103.01,257.92,5873.93,134.40,213.35,2831.64,34.49,56.50,1139.71,36.14,55.30,746.04,129.71,263.00,2316.26,193.59,477.00,3964.67,77.83,291.00,4829.45
0.00,830.48,29.32,456.54,1116.90,14524.91,120.10,267.43,5321.70,28.17,55.20,1189.61,67.56,179.00,2577.40,236.51,816.00,10212.91,294.45,968.00,13510.52,395.41,2560.00,65153.76
0.00,4250.83,55.22,89.19,245.85,6634.07,114.58,256.68,4090.58,42.53,54.20,626.96,174.73,367.00,4818.18,672.48,1830.00,19442.35,498.30,1540.00,18728.73,123.52,397.00,7419.79
0.00,2005.08,62.37,14.17,42.80,863.26,22.67,44.87,669.39,3.24,6.27,126.32,4.63,9.98,153.89,17.57,50.10,918.92,67.39,187.00,1980.34,26.69,102.00,1736.15
0.00,8454.73,55.40,14.12,36.18,530.54,15.08,28.26,522.18,5.54,10.80,127.78,14.27,22.70,252.57,81.14,177.00,2211.84,198.22,443.00,4033.10,72.45,325.00,5559.18
1.00,32741.17,55.40,395.84,990.65,14146.58,193.85,379.10,6069.95,35.70,57.20,1051.00,149.53,410.00,5600.23,353.20,1110.00,9005.61,283.06,927.00,17213.27,568.82,3680.00,70152.22
0.00,8565.63,27.91,28.18,75.02,1372.79,31.00,53.77,784.05,7.69,13.00,258.55,5.56,10.70,172.12,17.63,54.80,1111.80,95.08,326.00,4022.79,43.33,177.00,3274.57
0.00,8647.98,87.63,19.28,54.55,1362.60,15.37,25.72,702.51,7.30,13.30,135.89,21.89,33.40,354.65,61.93,115.00,1316.52,160.81,360.00,4836.72,40.76,198.00,4487.45
1.00,4701.94,87.63,17.27,43.99,685.91,7.08,11.86,247.46,12.02,18.80,236.28,33.19,65.10,480.29,77.84,279.00,3907.49,125.66,380.00,4021.69,28.12,80.70,1422.57
0.00,10950.45,25.58,48.74,125.93,2209.57,59.09,108.19,1507.20,19.98,37.90,584.00,31.92,76.70,1010.06,81.83,161.00,2564.58,128.85,516.00,5554.32,44.45,170.00,3168.89
0.00,4264.16,25.65,66.72,173.14,3740.21,109.12,180.11,2643.49,18.38,29.20,455.30,36.21,53.40,576.02,83.37,183.00,1882.43,116.49,285.00,2267.46,58.18,170.00,1980.99
0.00,2477.31,27.49,143.46,378.71,5843.87,78.17,176.48,3749.84,37.19,63.30,944.23,58.20,145.00,2222.51,182.37,600.00,7275.17,187.87,610.00,7362.24,90.15,584.00,17178.64
0.00,9326.00,87.56,36.74,102.26,1809.98,48.05,86.99,1502.14,10.98,28.40,695.35,16.86,51.20,742.43,90.89,317.00,3806.06,90.22,331.00,3581.78,39.88,101.00,1455.66
0.00,8553.21,87.48,12.23,31.92,657.95,18.27,34.52,601.79,9.07,13.40,136.14,10.86,20.60,152.14,27.63,97.70,1609.29,114.52,345.00,3831.06,31.05,111.00,1926.02
0.00,8591.06,47.63,26.66,69.05,1134.91,23.84,39.10,616.45,4.58,7.66,152.60,9.70,23.80,388.43,52.92,216.00,3980.90,273.71,977.00,10497.84,65.51,337.00,7472.07
0.00,3343.37,55.39,170.15,412.94,5448.99,98.51,183.45,3291.74,50.85,83.00,900.20,69.87,164.00,2218.88,185.78,683.00,9229.60,201.70,690.00,8550.36,100.71,694.00,19875.91
0.00,609.55,25.44,31.49,95.09,1832.07,33.71,55.67,846.98,7.69,14.00,241.82,6.17,10.10,147.27,22.92,86.90,2357.31,1233.49,3160.00,21983.37,185.47,595.00,7141.57
1.00,17197.34,25.08,89.01,233.99,4163.90,123.47,268.64,4959.56,22.18,37.90,649.55,87.67,311.00,5508.97,751.20,2510.00,22530.06,495.74,2060.00,21845.03,140.56,666.00,15619.75
0.00,203.53,48.63,14.72,37.58,739.13,17.93,41.29,852.47,2.82,4.46,86.50,3.76,5.44,85.96,11.10,27.30,277.35,37.42,83.10,1352.24,33.62,130.00,2390.67
0.00,12121.71,72.40,131.27,359.46,6644.13,109.22,212.90,4206.20,43.14,66.30,805.69,110.01,189.00,2243.83,259.83,562.00,7407.82,376.12,1280.00,12864.08,108.37,381.00,7510.63
0.00,50086.44,74.29,18.75,49.14,928.48,21.78,36.07,442.70,6.18,8.13,99.67,6.78,11.80,178.55,43.60,138.00,2170.63,181.59,601.00,6393.89,39.73,147.00,2177.07
1.00,12463.37,74.29,76.17,193.78,3474.56,96.73,161.00,2117.70,52.19,72.70,957.48,107.31,211.00,3085.93,494.57,1090.00,9748.43,455.96,1020.00,8378.13,98.82,356.00,7294.68
0.00,20333.35,50.84,29.84,78.65,1278.65,57.69,111.00,1508.74,13.54,26.30,360.41,15.19,39.20,627.18,24.23,83.60,1557.91,119.28,484.00,5791.80,60.40,287.00,5122.71
0.00,8840.33,59.05,79.24,202.09,3731.05,167.85,253.12,3485.45,30.80,71.60,1391.69,24.15,66.10,1211.99,52.31,128.00,2038.56,144.14,430.00,5819.30,69.13,324.00,8974.42
0.00,6937.93,65.74,142.72,365.84,5686.22,95.48,223.96,3684.19,16.30,25.90,455.19,28.00,56.20,1022.13,177.41,440.00,5805.98,259.37,640.00,5979.82,114.93,744.00,21341.20
0.00,165.80,65.74,25.44,67.19,1533.06,34.52,54.38,719.05,10.40,15.70,248.42,8.30,8.93,130.69,10.25,18.70,237.22,21.39,82.30,2267.36,50.60,264.00,4796.59
0.00,186.87,45.94,142.87,358.51,5548.51,118.72,249.00,3311.81,30.09,53.50,810.30,78.84,131.00,1755.38,336.89,719.00,8685.72,448.89,1200.00,13611.31,191.13,1140.00,19848.39
0.00,171.10,64.49,32.59,92.29,2747.80,53.71,100.01,1383.46,13.89,29.40,528.31,7.28,19.70,343.19,8.44,26.50,372.57,19.94,94.40,1891.67,34.76,137.00,2818.01
0.00,7620.09,64.71,52.06,139.70,2885.43,82.74,134.39,2497.66,17.32,38.70,693.05,18.24,50.20,847.07,148.50,586.00,8729.05,232.54,833.00,8959.08,58.64,206.00,4094.87
0.00,3911.42,61.93,14.25,35.46,1088.44,13.21,20.36,332.67,3.28,5.05,85.18,3.58,6.01,64.82,6.66,14.80,141.16,14.45,48.70,763.00,13.15,46.20,757.41
0.00,50086.44,47.42,24.34,78.73,1762.08,20.75,37.88,540.61,11.63,24.40,377.81,4.52,11.80,248.96,5.90,20.50,270.93,9.08,43.60,772.76,19.15,147.00,3167.79
0.00,79.04,47.42,9.85,27.20,619.13,10.88,20.40,347.66,5.06,10.00,171.72,1.25,3.25,71.88,0.56,1.80,38.21,2.05,8.41,171.62,6.44,39.10,869.54
0.00,50086.44,76.44,26.11,70.67,1073.55,27.00,48.91,885.75,13.21,29.50,538.29,2.77,6.31,136.85,5.09,15.70,250.69,15.35,57.70,672.37,13.69,91.60,2834.26
0.00,1353.43,47.51,22.61,64.74,1254.65,24.14,40.48,742.07,6.12,10.40,279.66,4.27,7.32,159.14,11.93,35.00,552.73,41.79,168.00,2965.61,34.84,192.00,3595.56
0.00,5016.95,61.82,206.19,529.36,6555.05,114.41,244.98,4241.09,69.79,98.50,970.58,187.53,306.00,2727.63,323.36,642.00,5398.66,238.36,594.00,5806.91,122.98,581.00,15621.16
0.00,1649.45,54.61,217.06,547.37,8961.77,119.14,169.70,2056.15,106.13,170.00,1861.27,204.29,410.00,5365.28,525.05,1370.00,12440.07,427.02,1240.00,21256.19,311.51,1390.00,21535.68
0.00,3682.03,68.83,191.81,467.76,6839.92,142.11,223.82,3978.57,70.05,88.40,910.80,148.63,251.00,2497.54,211.09,384.00,3185.02,154.40,343.00,3064.16,128.06,374.00,7386.59
0.00,443.52,48.50,176.36,435.63,7951.34,137.02,273.24,5319.46,83.49,99.50,1181.39,241.21,308.00,2506.08,241.06,406.00,2627.76,72.03,134.00,1478.19,162.23,551.00,11283.38
0.00,3197.30,53.55,179.48,474.43,6213.19,27.90,44.96,734.30,57.94,114.00,1523.02,244.20,583.00,6462.64,554.97,1200.00,8928.11,429.32,953.00,17023.84,416.17,2660.00,47433.01
0.00,12637.95,58.30,314.11,872.97,12359.68,57.91,95.98,1825.03,43.46,83.10,1237.80,209.31,574.00,8230.46,523.55,1330.00,10761.10,250.95,622.00,9456.44,261.47,1390.00,32321.25
1.00,27822.24,61.65,707.98,1749.83,25653.07,387.64,794.16,11801.83,242.58,341.00,3675.70,505.58,957.00,11718.72,490.03,1010.00,9298.18,196.72,477.00,4937.12,435.19,1500.00,33146.85
1.00,110.47,48.53,322.82,885.06,18514.67,276.82,622.04,11553.61,168.96,223.00,2068.99,586.94,1150.00,13295.59,1383.17,3320.00,25747.58,517.83,1320.00,16751.75,326.62,1200.00,32062.71
0.00,16081.71,78.44,146.03,384.03,5625.01,137.58,245.21,4150.94,108.08,146.00,1338.03,150.65,255.00,3176.86,380.40,907.00,10540.05,337.45,982.00,9923.69,158.43,881.00,25855.12
1.00,8.43,49.10,316.55,787.75,11326.64,279.30,521.55,7769.20,194.32,331.00,3923.85,598.55,1470.00,16392.09,1289.40,3010.00,23168.82,407.11,1100.00,13869.54,356.21,1160.00,26007.33
0.00,28569.52,47.35,1135.41,3046.53,39110.58,319.42,542.20,8644.28,291.78,356.00,5145.30,1090.64,1490.00,14822.32,1308.88,3160.00,28827.33,957.75,2760.00,38871.05,863.25,3710.00,76698.23
0.00,3873.17,74.89,282.71,704.59,13194.19,194.88,333.84,5831.73,88.07,144.00,1929.80,308.69,515.00,5816.52,424.73,769.00,6381.98,303.44,679.00,7121.60,224.86,938.00,24072.80
0.00,20198.25,40.05,645.46,1633.58,21259.75,504.66,1065.41,18693.71,110.39,210.00,2740.42,588.16,1670.00,20490.33,1006.58,2980.00,25072.43,419.89,1140.00,13528.05,400.39,1750.00,41397.28
0.00,45100.96,72.19,147.03,370.39,5744.30,219.65,357.25,4552.16,63.12,109.00,1622.86,203.19,443.00,4676.33,438.28,1320.00,12907.65,272.55,851.00,11709.90,111.80,300.00,6550.25
1.00,23.40,39.53,810.47,2265.89,33136.47,283.79,448.40,8034.21,175.82,266.00,3797.29,965.21,1760.00,21924.75,2714.36,4720.00,32657.15,1021.21,2660.00,30564.71,850.54,3040.00,40327.67
0.00,1589.72,46.38,23.41,62.25,1437.00,30.76,52.55,987.16,15.61,31.70,613.02,5.41,9.30,136.51,10.75,24.60,309.71,44.96,145.00,1726.01,26.03,119.00,1700.75
0.00,1661.15,39.27,47.99,134.61,3437.26,66.48,110.91,2140.36,23.37,45.30,1286.32,9.07,17.40,342.03,35.22,129.00,1674.86,54.05,176.00,2390.87,39.74,161.00,2512.75
0.00,1713.14,20.61,30.98,90.61,2013.01,36.13,57.87,910.17,17.54,32.30,444.77,13.41,32.90,419.05,23.22,76.00,1105.79,83.74,443.00,7598.94,58.83,365.00,7739.54
0.00,149.19,21.22,76.37,199.34,3790.73,162.65,269.45,3694.28,29.06,51.70,832.42,21.00,36.60,579.62,41.30,100.00,2058.61,160.94,549.00,7459.23,93.52,425.00,7093.24
0.00,149.19,24.06,60.87,162.67,3131.58,125.47,193.43,2932.85,43.28,72.20,1028.61,30.61,57.20,757.56,75.23,147.00,1469.60,138.70,387.00,4173.35,44.22,161.00,3665.01
0.00,258.41,38.60,26.32,67.68,1399.98,36.99,58.70,902.26,12.95,20.70,344.46,5.49,9.82,140.32,8.01,17.30,195.65,29.22,82.60,1195.25,21.30,70.40,1263.55
0.00,19209.96,90.37,147.68,374.99,5590.41,289.74,481.79,7582.85,75.38,178.00,3237.15,52.61,132.00,2516.17,143.56,374.00,5234.65,186.50,509.00,5257.87,108.26,393.00,10769.93
0.00,19209.96,89.04,281.72,810.40,19196.80,342.53,567.10,8236.15,72.11,136.00,3200.60,77.96,140.00,2004.10,143.73,331.00,3404.07,155.77,466.00,4681.70,126.04,583.00,13581.06
0.00,4077.75,81.90,26.17,68.65,1448.73,39.57,60.72,986.34,8.51,15.30,319.25,5.10,8.76,116.04,16.10,40.50,687.67,61.36,167.00,1861.24,25.71,103.00,2234.33
0.00,19209.96,89.71,132.11,331.37,5549.03,229.88,381.93,5286.65,51.15,102.00,2415.38,65.20,111.00,1604.89,115.09,245.00,3212.36,219.32,727.00,8575.14,109.79,372.00,12039.73
0.00,11780.57,87.97,21.38,55.87,1098.49,26.53,49.19,929.47,7.83,13.30,213.88,2.89,5.29,74.49,2.07,3.80,51.10,2.32,7.95,165.31,9.91,63.00,1580.47
0.00,1495.27,88.37,4.87,12.62,232.96,6.49,10.06,164.60,2.79,4.53,60.05,1.08,1.85,27.51,0.46,0.85,12.11,0.63,1.98,34.37,2.18,9.84,202.15
0.00,16311.00,77.00,22.36,58.63,1108.89,28.95,46.33,712.97,7.36,15.30,381.36,3.12,7.03,277.10,2.17,4.80,70.36,5.40,15.80,230.92,14.60,75.30,1868.83
1.00,27741.50,76.65,52.11,138.34,2653.06,59.55,95.37,1735.54,19.27,40.20,730.16,19.36,51.50,764.26,34.52,114.00,1774.69,98.41,441.00,5617.58,36.43,182.00,4284.56
